enterprise_lead_id,tour_date,number_of_developed_contracts_owned,number_of_managed_contracts_owned,number_of_trust_contracts_owned,number_of_vip_sampler_contracts_purchased,number_of_resale_contracts_owned,first_voi_sold_date,most_recent_voi_sold_date,total_spent_life_to_date,total_intervals_owned,total_net_weeks,total_net_points,largest_list_price_purchase
675286509,2025-10-16,1,1,null,0,0,1995-05-21,2024-07-26,64245.00,2.00,1.50,18880,51345.000000000000
676416509,2023-12-07,0,2,null,0,0,2004-09-04,2021-12-03,107231.00,2.00,2.00,50560,71331.000000000000
676527873,2021-08-06,0,0,null,1,0,null,null,0.00,1.00,0.00,0,1695.000000000000
675976607,2023-12-19,1,0,null,0,0,2017-11-19,2017-11-19,38100.00,1.00,1.00,8000,38100.000000000000
672170189,2023-05-21,0,1,null,0,0,2013-12-14,2022-09-04,25350.00,0.50,0.00,8000,25350.000000000000
673361141,2021-07-09,0,0,null,1,0,null,null,0.00,1.00,0.00,0,1695.000000000000
672709237,2022-01-31,1,0,null,0,0,2012-01-18,2012-01-18,37610.00,0.50,0.50,14880,37610.000000000000
673194147,2023-10-18,1,0,null,0,0,2008-01-26,2015-01-23,67340.00,1.00,-0.50,33600,67340.000000000000
677979625,2021-11-15,0,0,null,0,0,null,null,0.00,0.00,0.00,0,0E-12
690330946,2024-01-30,0,0,null,1,0,null,null,0.00,1.00,0.00,0,1695.000000000000
667101579,2025-02-14,0,1,1,0,0,2020-11-13,2024-01-21,130260.00,2.00,0.00,27200,102280.000000000000
665908307,2023-09-17,1,1,null,1,0,2005-06-30,2023-09-05,271399.00,5.00,-1.00,58880,166060.000000000000
664914225,2024-09-04,2,0,null,1,0,2006-02-08,2024-05-01,81980.00,3.00,1.00,19200,62990.000000000000
667172651,2023-12-05,0,1,null,0,0,2020-01-18,2020-01-18,11700.00,0.50,0.50,3840,11700.000000000000
682891667,2021-05-05,0,1,null,0,0,2017-09-26,2017-09-26,28880.00,1.00,1.00,15360,28880.000000000000
673919757,2021-04-23,3,1,null,1,0,2004-08-26,2017-11-13,234720.00,9.00,6.00,77120,124815.000000000000
676056261,2023-02-11,1,0,null,1,0,2006-07-24,2022-04-05,116677.00,2.00,-1.00,23040,116677.000000000000
679750015,2025-05-24,4,0,null,0,0,1996-10-13,2024-03-16,142920.00,5.00,3.00,68480,110710.000000000000
679341083,2021-07-06,0,1,null,0,0,2003-03-10,2003-03-10,11490.00,0.50,0.50,15360,11490.000000000000
690597840,2023-10-14,0,0,null,0,0,null,null,0.00,0.00,0.00,0,0E-12
691539439,2023-09-28,2,0,null,0,0,2009-09-01,2022-08-22,56113.00,1.00,1.00,16640,28903.000000000000
667185195,2021-05-31,0,0,null,0,0,null,null,0.00,0.00,0.00,0,0E-12
666112299,2022-06-04,0,1,null,0,0,2013-07-14,2017-12-21,27936.00,1.00,0.00,6400,27936.000000000000
667563265,2022-04-14,0,1,null,0,0,2017-11-12,2017-11-12,10965.00,0.50,0.50,5600,10965.000000000000
664100339,2025-04-10,0,0,null,0,0,null,null,0.00,0.00,0.00,0,0E-12
666880963,2022-03-17,1,0,null,0,0,2003-08-08,2003-08-26,53500.00,0.50,0.50,6560,22500.000000000000
667140489,2022-08-24,0,1,null,0,0,2016-02-14,2016-02-14,22230.00,0.50,0.50,8160,22230.000000000000
680615479,2024-06-15,0,1,null,0,0,2019-06-27,2019-06-27,15105.00,0.50,0.50,8000,15105.000000000000
682737629,2024-04-06,1,0,null,0,0,2018-12-27,2023-04-07,54990.00,1.00,0.00,11200,54990.000000000000
683636267,2022-08-29,0,1,null,0,0,2013-09-28,2019-01-29,29140.00,1.00,1.00,4800,21770.000000000000
674407877,2022-11-22,2,1,null,0,1,2019-07-06,2026-02-05,54759.00,1.50,1.00,15840,30990.000000000000
677039705,2022-10-02,0,1,null,0,0,2015-10-08,2015-10-08,18295.00,1.00,1.00,5440,18295.000000000000
676139901,2021-10-19,1,0,null,0,0,2014-08-25,2019-08-20,58880.00,1.00,0.00,12000,58880.000000000000
675735515,2023-05-28,0,0,null,1,0,null,null,0.00,1.00,0.00,0,1695.000000000000
672470197,2024-10-12,1,0,null,0,0,2004-03-03,2004-03-03,15240.00,1.00,1.00,5440,15240.000000000000
671477989,2022-08-06,1,0,null,0,0,2012-01-17,2019-01-02,37950.00,0.50,0.00,11520,37950.000000000000
680187269,2021-08-11,0,1,null,0,0,2015-09-21,2015-09-21,20290.00,1.00,1.00,5440,20290.000000000000
